Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Fri Oct 31 1997,Chicago Bulls,85,Boston Celtics,92,Box Score,,18624,
Fri Oct 31 1997,New York Knicks,97,Charlotte Hornets,85,Box Score,,24042,
Fri Oct 31 1997,San Antonio Spurs,107,Denver Nuggets,96,Box Score,,15031,
Fri Oct 31 1997,Washington Wizards,79,Detroit Pistons,92,Box Score,,22076,
Fri Oct 31 1997,Cleveland Cavaliers,86,Houston Rockets,94,Box Score,,16285,
Fri Oct 31 1997,Utah Jazz,87,Los Angeles Lakers,104,Box Score,,16234,
Fri Oct 31 1997,Toronto Raptors,101,Miami Heat,114,Box Score,,14795,
Fri Oct 31 1997,Golden State Warriors,113,Minnesota Timberwolves,129,Box Score,,16784,
Fri Oct 31 1997,Indiana Pacers,95,New Jersey Nets,97,Box Score,,20049,
Fri Oct 31 1997,Atlanta Hawks,105,Orlando Magic,99,Box Score,,17248,
Fri Oct 31 1997,Milwaukee Bucks,103,Philadelphia 76ers,88,Box Score,,12199,
Fri Oct 31 1997,Los Angeles Clippers,100,Phoenix Suns,110,Box Score,,19023,
Fri Oct 31 1997,Seattle SuperSonics,91,Portland Trail Blazers,83,Box Score,,21538,
Fri Oct 31 1997,Dallas Mavericks,90,Vancouver Grizzlies,88,Box Score,,17021,
Sat Nov 1 1997,Toronto Raptors,85,Atlanta Hawks,90,Box Score,,8539,at Atlanta GA (Alexander Memorial Coliseum at McDonald's Center)
Sat Nov 1 1997,Philadelphia 76ers,74,Chicago Bulls,94,Box Score,,24196,
Sat Nov 1 1997,Golden State Warriors,83,Indiana Pacers,96,Box Score,,16729,
Sat Nov 1 1997,Portland Trail Blazers,82,Los Angeles Clippers,74,Box Score,,12898,
Sat Nov 1 1997,New Jersey Nets,113,Milwaukee Bucks,109,Box Score,OT,18717,
Sat Nov 1 1997,Charlotte Hornets,90,Minnesota Timberwolves,106,Box Score,,19006,
Sat Nov 1 1997,Cleveland Cavaliers,80,San Antonio Spurs,83,Box Score,,24793,
Sat Nov 1 1997,Dallas Mavericks,89,Seattle SuperSonics,81,Box Score,,17072,
Sat Nov 1 1997,Denver Nuggets,84,Utah Jazz,102,Box Score,,19911,
Sat Nov 1 1997,Sacramento Kings,96,Vancouver Grizzlies,97,Box Score,,15460,
Sat Nov 1 1997,Miami Heat,109,Washington Wizards,108,Box Score,,18281,at Landover MD
Sun Nov 2 1997,Orlando Magic,107,Boston Celtics,96,Box Score,,17954,
Sun Nov 2 1997,Detroit Pistons,94,New York Knicks,86,Box Score,,19763,
Sun Nov 2 1997,Houston Rockets,93,Sacramento Kings,77,Box Score,,17317,
Mon Nov 3 1997,San Antonio Spurs,83,Chicago Bulls,87,Box Score,2OT,23868,
Mon Nov 3 1997,Charlotte Hornets,112,Miami Heat,99,Box Score,,14587,
Mon Nov 3 1997,Washington Wizards,90,Utah Jazz,86,Box Score,,19911,
Tue Nov 4 1997,Detroit Pistons,71,Atlanta Hawks,82,Box Score,,13961,
Tue Nov 4 1997,Indiana Pacers,77,Cleveland Cavaliers,80,Box Score,,20132,
Tue Nov 4 1997,Vancouver Grizzlies,87,Dallas Mavericks,92,Box Score,,14285,
Tue Nov 4 1997,Washington Wizards,120,Denver Nuggets,96,Box Score,,8104,
Tue Nov 4 1997,Orlando Magic,76,Milwaukee Bucks,110,Box Score,,12764,
Tue Nov 4 1997,Boston Celtics,70,New York Knicks,102,Box Score,,19763,
Tue Nov 4 1997,Utah Jazz,84,Phoenix Suns,106,Box Score,,19023,
